淡水河左岸自行車道,新北市,八里區,八里左岸沿線的自行車道，一直是鐵馬族的最愛，尤其靠近渡船頭至左岸公園這一段，附近有眾多店家、特色美食、景觀餐廳，是八里左岸自行車道中最熱鬧的一段。新北市政府自103年2月起著手進行木棧步道之施作，以人車分道概念進行設計，於車道與人行木棧道間利用增設ㄇ字型護欄，或採保留原有高差的方式來做區隔，形成「人車分道」的安定感，提供單車客與行人更舒適、安全的遊賞環境；此外，挖子尾生態保育區週邊的自行車道由於年久老舊，亦重新鋪設，翻新後有如返老還童，讓民眾得以盡情享受沿岸美麗的河景風光。而左岸碼頭旁的「BALI廣場」，新設BALI字樣藝術雕塑。鮮豔的色彩與鏤空的造型結構，不僅將淡水河優美的景色和諧融合，民眾還可穿梭其中與雕塑互動連結，成為遊客們爭相拍照的新亮點。 誠摯歡迎市民抽空到八里左岸悠遊體驗煥然一新的木棧道與單車道，並與山巒、河景、 bali 一同留下美好的倩影。
新北大漢及新店溪自行車道,新北市,三重區、新莊區、板橋區、新店區,為了讓大漢溪左右兩岸互動更直接、便捷，新北市政府潛心規劃新月橋之初，既以具時尚感的光雕橋型為雛形，意在創造新北市境內新的觀光景點，橋面設計專供行人及自行車使用之跨河結構，led光帶燈更創造橋面與欄杆間的嶄新光影變化，以視覺樂趣營造出迷人的夜間景致。另新店溪沿岸在每年2月初到3月上旬之間，春遊賞櫻成了最浪漫的事，賞櫻風潮及追櫻路線更是為人所津津樂道，而特別在新店陽光運動園區打造的河津櫻花大道，緋紅的櫻花沿著河濱步道綻放，櫻飛如雪的景致搭配園區特色主題花園，筆筆勾勒出令人讚詠的美麗圖畫。民眾在賞櫻的同時，亦可前往陽光橋下游左側草坪區欣賞混色波斯菊，花海面積共計約 14000 平方公尺 ，足足有2個足球場大，豔麗的五顏色彩，美麗的波斯菊在風中搖曳，猶如花仙子下凡般，為河濱公園渲染成一片花花世界。喜愛賞櫻的民眾，不妨趁著花季盛開時節，邀請家人朋友一起來趟河濱單車賞櫻之旅，享受櫻花美景帶來的小確幸。
舊草嶺環狀線自行車道,新北市、宜蘭縣,貢寮區、頭城鎮,「舊草嶺環狀線自行車道」總長約20公里，跨越了新北市和宜蘭縣，施工耗時2年多，以生態工法處理高低起伏的路段，保留了太平洋優美的天際線，民眾由福隆火車站出發，前往舊草嶺自行車隧道，出隧道南口後，可直通宜蘭縣石城，再經石城服務區、萊萊海蝕平台、四角窟觀景台、卯澳漁村、東興宮，回到福隆火車站。 本路線行經鐵道邊，具鐵道鄉間自然景觀，體驗終年舒適涼爽及充滿歷史氣息的舊草嶺隧道，沿線欣賞變化多端的地質景觀，如有「魔鬼洗衣板」之稱萊萊海蝕平台，遠眺龜山島及遼闊的太平洋，路線途經具有在地歷史人文特色的馬岡及卯澳漁村。
臺北河濱自行車道,臺北市,,臺北市河濱自行車道總長112公里，串聯起28座河濱公園，包括淡水河、基隆河及新店溪等三大河系，如再依河系區分，則可分為「淡水河右岸」、「新店溪右岸」、「基隆河左岸」、「基隆河右岸」、「景美溪左右岸」、「雙溪左右岸」6條各具特色的河濱遊憩路線。六大系統，南起景美、東自內湖，沿著河岸二側向下游延伸至關渡濕地，提供給民眾健康、親水、生態、親子、人文歷史多元休閒好去處。
冬山河自行車道,宜蘭縣,五結鄉、冬山鄉,「冬山河自行車道」位於宜蘭冬山河畔，全長24公里的冬山河流域是運動、遊憩、休閒多元功能的河濱遊憩區。由美麗的冬山瓜棚火車站為起點，沿著冬山河道騎乘，沿途經過森林公園、親水公園、珍珠稻草社區、52甲賞鳥溼地區、噶瑪蘭流流社、傳統藝術中心、清水大閘門與太平洋海邊。車道兩旁主要栽種風箱樹，綠意盎然，一路上可以看到田園稻浪景色，遠眺龜山島忽隱忽現，河面上獨木舟、西式划舟悠遊滑行，漁夫灑網或垂釣，魚鳥躍然於河邊嬉戲，欣賞冬山河畔波光粼粼的綠波，微風拂過鳴鳥啁啾的綠樹濃蔭，呈現出恬靜閒適的風光；而沿線景點也舉辦過各式活動，如國際童玩藝術節、亞太藝術節、龍舟競賽、馬拉松比賽、西式划舟比賽等可參與。冬山火車站及親水公園皆設立自行車出租站，平緩的車道適合全家親子一同運動休閒，春、夏、秋、冬四季皆宜，一探小河文化之美。
臺中東豐自行車綠廊－后豐鐵馬道,臺中市,后里區、豐原區、石岡區、東勢區,『東豐自行車綠廊』前身為臺鐵縱貫線東勢支線，途經臺中市豐原區、石岡區及東勢區，民國89年正式啟用，是全國首條由廢鐵道改建而成之自行車專用道。停駛的東勢舊鐵道功成身退，變身風光明媚的自行車專用道，豐富的客家文化、水圳、阡陌縱橫的田園景色，翠綠無垠，大甲溪的壯麗河谷，跨越溪谷的梅子鐵橋及921大地震形成的斷層瀑布等獨特景觀，如同一條橫臥大甲溪畔的綠色長龍。后豐鐵馬道前身為臺鐵舊山線，貫穿原舊山線《9號隧道》，再經大甲溪花樑鋼橋，引領遊客探尋臺鐵的歷史軌跡。橫跨大甲溪的「后豐鐵馬道」一路展現與大甲溪共舞的宜人姿態，在自然風光的點綴下，譜出動人的綠色樂章。最後與『東豐自行車綠廊』相接，形成總長18公里、具獨特懷舊魅力的自行車專用道。大甲溪花樑鋼橋建於西元1908年，其下部結構是混凝土砌塊石沈箱，橋座是磚角石構成，為罕見之交通工藝品，遠處觀望氣勢雄偉，是臺鐵舊山線最南端的景點，全長382公尺，是結合力與美的工程作品。 《九號隧道》建於西元1908年，已有近百年歷史，全長1273公尺，是臺鐵舊山線最長的一座隧道，隧道南口由日據時代第五任總督佐久間左馬太題字『氣象雄深』，隧道北口為民政長官後藤新平題字『潛行不窒』。
集集綠色隧道暨環鎮自行車道,南投縣,集集鎮,本路線行經本鎮市區重要景點，如集集火車站、明新書院、特有生物研究保育中心、武昌宮、大樟樹園區、綠色隧道、龍泉車站等景點，沿線景觀由城鎮風情街廓景觀，延伸至綠意盎然的鐵道風情，均可在本路線上飽覽無遺。尤其綠色隧道一株株壯碩蒼勁的老樟樹，在道路二旁編織綿密、舖蓋視野，道路蜿蜒出清涼綠意的山林味道。而在綠林疏漏處，陽光灑落，樟樹、綠林與陽光，層層疊疊出多層次的細膩感受，放慢腳步，單車踩風，你會發現生命在此被綠意洗禮，重新賦與動力。
日月潭自行車道系統,南投縣,魚池鄉,日月潭自行車道亦受到美國有線電視CNN旗下的生活旅遊網站評選的青睞，選為全球十大最美自行車路線之一，並與全球7大最美單車路線的「日本瀨戶內島波海道自行車道」締結為姊妹車道。世界知名旅遊雜誌「寂寞星球」(LONELY PLANET)也報導，臺灣以全世界少有環繞國度等級的自行車道系統獲選為2012全球最佳觀光聖地第九名。CNN形容日月潭的自行車道擁有碧綠地日月潭湖面，不僅吸引國內外遊客前往，更激發許多藝術者的創作靈感。
屏東大鵬灣環灣自行車道,屏東縣,東港鎮/林邊鄉,大鵬灣環灣自行車道為獨立自行車道，主要沿潟湖而行，當中可繞行人工濕地，沿途景色優美、海天一色、路況良好、行車安全，慢遊騎乘一圈約需兩小時，途經五大區域特色，分別是：「潟湖景緻」、「漁村風情」、「人文社區」、「碧海藍天海堤」、「紅樹林自然生態及濕地」，與其他各大都市之「都市自行車道」系統相較，視覺更開闊、心情更輕鬆，更符合樂活精神。沿線休憩景點有大潭濕地公園、右岸濕地公園、左岸濕地公園、崎峰濕地公園、紅樹林濕地公園等五大人工濕地（復育全國所有主要紅樹科植物）；以及大鵬灣水上驛站、大鵬灣遊客中心、大鵬灣國際休閒特區（擁有全國唯一合法國際賽車場、全國最大卡丁車場、東方渡假酒店國際觀光旅館）、落日灣、映霞橋亭、濱灣公園（可換乘遊湖船前往全國唯一蚵殼島）、青洲濱海遊憩區（擁有沙灘車、賽格威、水上摩托車、香蕉船、各式拖曳浮胎體驗區）、鵬灣跨海大橋（具有全國唯一開啟式橋樑，例假日開橋秀及夜間光雕秀）。沿途設有七處廁所、二處無障礙廁所、九處停車場及五處休憩涼亭，外加公路客運大鵬灣站，全線遊憩景點豐富，聯外交通便利性極佳，遊憩用餐喝咖啡及如廁需求一應俱全。
臺東池上大坡池（浮圳環線）暨藍線自行車道,台東縣,池上鄉,池上大坡池車道（浮圳環線）:池上大坡池為池上命脈之起源，老榕樹長年的駐守，行經於此時，猶如受到家中長輩們的保護，舒適放鬆地漫遊於此。藍線自行車道：藍線自行車道一路不僅為純樸清新的田園景色令人心曠神怡，途中大水車已是必停下腳步拍張照之標地景物，農務期間亦可看到農業機具，不僅成為車道上新亮點亦逗起大人小孩新奇之心； 另外隱藏於自行車道末端之池上圳進水口處，有進水口導水路、魚梯、溪岸生態景觀、涼亭休息區等等，有別於前段之田園景色，為認識水圳生態最佳景點。
